Wavelength,Flux
3200.0,1.646954378431431e-10
3201.0,1.6773728239716235e-10
3202.0,1.6582878126225609e-10
3203.0,1.6301086869230375e-10
3204.0,1.6159258653392072e-10
3205.0,1.614321593068624e-10
3206.0,1.6326276441880339e-10
3207.0,1.6201225083722903e-10
3208.0,1.596509452417294e-10
3209.0,1.5799218877621257e-10
3210.0,1.5702532329964214e-10
3211.0,1.628749218829384e-10
3212.0,1.619088196846974e-10
3213.0,1.572234287205987e-10
3214.0,1.600535259882463e-10
3215.0,1.6233703270529531e-10
3216.0,1.6052208173800153e-10
3217.0,1.5928364183181998e-10
3218.0,1.5365231309516503e-10
3219.0,1.5541985753930732e-10
3220.0,1.5771760286664716e-10
3221.0,1.5334976344316686e-10
3222.0,1.5161828736953709e-10
3223.0,1.5508144768361376e-10
3224.0,1.5510615014591167e-10
3225.0,1.5496286198679599e-10
3226.0,1.5485926430081065e-10
3227.0,1.5460586977322777e-10
3228.0,1.5705407807597993e-10
3229.0,1.582150938039817e-10
3230.0,1.6179513284697578e-10
3231.0,1.648792075092942e-10
3232.0,1.6798047675070649e-10
3233.0,1.749367317671613e-10
3234.0,1.775368740908334e-10
3235.0,1.888069839361961e-10
3236.0,1.889508272068241e-10
3237.0,1.8938696444426029e-10
3238.0,1.894019246995171e-10
3239.0,1.8908143106788344e-10
3240.0,1.9182189170408037e-10
3241.0,1.9187204602921781e-10
3242.0,1.9172412268897432e-10
3243.0,1.916177216898518e-10
3244.0,1.914202268915588e-10
3245.0,1.914252090173818e-10
3246.0,1.915207437086508e-10
3247.0,1.9280532725929334e-10
3248.0,1.8940092549879495e-10
3249.0,1.8592924422300428e-10
3250.0,1.7062415369473172e-10
3251.0,1.667199572841227e-10
3252.0,1.7077619873795413e-10
3253.0,1.7120942163995068e-10
3254.0,1.715887987252529e-10
3255.0,1.7104292981962033e-10
3256.0,1.7088951087540494e-10
3257.0,1.7264091545232674e-10
3258.0,1.7337462021593808e-10
3259.0,1.74772113448185e-10
3260.0,1.766545937309516e-10
3261.0,1.7802494201024643e-10
3262.0,1.8261091250248995e-10
3263.0,1.8328073780882193e-10
3264.0,1.8285280234398016e-10
3265.0,1.8264911805232487e-10
3266.0,1.8223997311217488e-10
3267.0,1.829508905482058e-10
3268.0,1.8303877857839268e-10
3269.0,1.8318724315236068e-10
3270.0,1.8267355683665443e-10
3271.0,1.8178952787550884e-10
3272.0,1.7887863412724414e-10
3273.0,1.7718483624751258e-10
3274.0,1.7702765642280127e-10
3275.0,1.7764256732277772e-10
3276.0,1.7931874041199336e-10
3277.0,1.7686152542495392e-10
3278.0,1.7486723180581976e-10
3279.0,1.711547570337757e-10
3280.0,1.7056613066390724e-10
3281.0,1.7197798740653525e-10
3282.0,1.7445925259984563e-10
3283.0,1.7760153070423002e-10
3284.0,1.789435821741847e-10
3285.0,1.7947220098957217e-10
3286.0,1.8201748441804e-10
3287.0,1.8327833695153117e-10
3288.0,1.854508352439055e-10
3289.0,1.865433779668635e-10
3290.0,1.872179078432623e-10
3291.0,1.8842846727373797e-10
3292.0,1.8867654660859046e-10
3293.0,1.890252399050496e-10
3294.0,1.8967773185440961e-10
3295.0,1.9026778763642227e-10
3296.0,1.8963070003152893e-10
3297.0,1.8945539581594062e-10
3298.0,1.8891482822525063e-10
3299.0,1.890797657333465e-10
3300.0,1.8949149194202874e-10
3301.0,1.8210614960434413e-10
3302.0,1.7935944396363368e-10
3303.0,1.7853879485940638e-10
3304.0,1.7802652407805653e-10
3305.0,1.7704622490288813e-10
3306.0,1.7707678379164093e-10
3307.0,1.7699283705319147e-10
3308.0,1.766826407401112e-10
3309.0,1.765503437889393e-10
3310.0,1.764137586013348e-10
3311.0,1.769273477725264e-10
3312.0,1.7734334833985343e-10
3313.0,1.7802781471232265e-10
3314.0,1.7834769772129277e-10
3315.0,1.7924353667986281e-10
3316.0,1.8049439720613236e-10
3317.0,1.8244021571245383e-10
3318.0,1.8483277408609666e-10
3319.0,1.8583172500807876e-10
3320.0,1.8571556792412736e-10
3321.0,1.8602024087766011e-10
3322.0,1.8649329303066509e-10
3323.0,1.8697575432380376e-10
3324.0,1.8724889694343716e-10
3325.0,1.8770297816050885e-10
3326.0,1.88519810873089e-10
3327.0,1.907162483494318e-10
3328.0,1.8973191073801132e-10
3329.0,1.886048678345631e-10
3330.0,1.8889083353013092e-10
3331.0,1.8921016142758873e-10
3332.0,1.897585005794511e-10
3333.0,1.8914916855017339e-10
3334.0,1.8787911504336563e-10
3335.0,1.8661600043046178e-10
3336.0,1.8602902551734246e-10
3337.0,1.8630662290686217e-10
3338.0,1.8635065712757637e-10
3339.0,1.8657597689042404e-10
3340.0,1.8573531601617788e-10
3341.0,1.851150344123198e-10
3342.0,1.8677066837557987e-10
3343.0,1.873890903558717e-10
3344.0,1.8868599738208758e-10
3345.0,1.898302348646297e-10
3346.0,1.9100315773457055e-10
3347.0,1.9210598389829414e-10
3348.0,1.923909226375642e-10
3349.0,1.908981028808654e-10
3350.0,1.8717516425681424e-10
3351.0,1.8074673702184185e-10
3352.0,1.8095570875065192e-10
3353.0,1.8115017819120283e-10
3354.0,1.814097760899358e-10
3355.0,1.813220407154148e-10
3356.0,1.8107365606923054e-10
3357.0,1.8201079532431663e-10
3358.0,1.8283168035093667e-10
3359.0,1.8322435235695878e-10
3360.0,1.8305129634299533e-10
3361.0,1.811865379952593e-10
3362.0,1.809579985856402e-10
3363.0,1.8060324069590905e-10
3364.0,1.810775002164533e-10
3365.0,1.8133848589396706e-10
3366.0,1.8144256930252567e-10
3367.0,1.8104123755691148e-10
3368.0,1.8025447801051087e-10
3369.0,1.7998072476821392e-10
3370.0,1.7985343769844064e-10
3371.0,1.7979738531348488e-10
3372.0,1.7954886188942254e-10
3373.0,1.7870246948881174e-10
3374.0,1.7909995708720317e-10
3375.0,1.794099313556785e-10
3376.0,1.801373078480495e-10
3377.0,1.802172300280347e-10
3378.0,1.7902007654058139e-10
3379.0,1.7936406526697368e-10
3380.0,1.7978205035795725e-10
3381.0,1.81034340296371e-10
3382.0,1.8154941439085803e-10
3383.0,1.8306052507188753e-10
3384.0,1.8342784235958476e-10
3385.0,1.8414690605705886e-10
3386.0,1.8432051718253462e-10
3387.0,1.845048142046224e-10
3388.0,1.849511099827339e-10
3389.0,1.8470454332675246e-10
3390.0,1.8327402095952294e-10
